Calpine	GGC-5										
Depth	Q	C	P	E	Y	L	X	A	"T (Qtz,Calcite,Pyrite,Epidote,pYrhotite,chLorite,aXinite,Actinolite,Tourmaline)"		
5340	t	t	r	t	-	-	-	-	-		
5350	t	t	r	t	-	-	-	-	-		
5360	t	t	r	t	-	-	-	-	-		
5370	t	t	r	t	-	-	-	-	-		
5380	t	t	r	t	-	-	-	-	-		
5390	t	t	r	t	-	-	-	-	-		
5400	t	t	r	t	-	-	-	-	-		
5410	t	t	r	t	-	-	-	-	-		
5420	t	-	-	r	-	-	-	-	-		
5430	t	-	-	r	-	-	-	-	-		
5440	t	-	-	r	-	-	-	-	-		
5450	t	-	-	r	-	-	-	-	-		
5460	t	-	-	r	-	-	-	-	-		
5470	t	-	-	r	-	-	-	-	-		
5480	t	-	r	r	-	-	-	-	-		
5490	t	-	r	r	-	-	-	-	-		
5500	t	-	r	r	-	-	-	-	-		
5510	t	-	r	r	-	-	-	-	-		
5520	r	-	r	-	-	-	-	-	-		
5530	r	-	r	-	-	-	-	-	-		
5540	r	-	r	-	-	-	-	-	-		
5550	r	-	r	-	-	-	-	-	-		
5560	r	-	r	-	-	-	-	-	-		
5570	r	-	r	-	-	-	-	-	-		
5580	t	-	r	r	-	-	-	-	-		
5590	t	-	r	r	-	-	-	-	-		
5600	t	-	r	r	-	-	-	-	-		
5610	t	-	r	r	-	-	-	-	-		
5620	t	-	t	r	-	-	-	-	-		
5630	t	-	t	r	-	-	-	-	-		
5640	t	-	t	r	-	-	-	-	-		
5650	t	-	t	r	-	-	-	-	-		
5660	r	-	t	r	-	-	-	-	-		
5670	r	-	t	r	-	-	-	-	-		
5680	r	-	t	-	-	-	-	-	-		
5690	r	-	t	-	-	-	-	-	-		
5700	r	-	t	-	-	-	-	-	-		
5710	r	-	t	-	-	-	-	-	-		
5720	r	-	-	-	-	-	-	-	-		
5730	r	-	-	-	-	-	-	-	-		
5740	r	-	-	-	-	-	-	-	-		
5750	r	-	-	-	-	-	-	-	-		
5760	r	-	-	-	-	-	-	-	-		
5770	r	-	-	-	-	-	-	-	-		
5780	r	-	-	-	-	-	-	-	-		
5790	r	-	-	-	-	-	-	-	-		
5800	r	-	-	-	-	-	-	-	-		
5810	r	-	-	-	-	-	-	-	-		
5820	r	-	-	r	-	-	-	-	-		
5830	r	-	-	r	-	-	-	-	-		
5840	r	-	-	r	-	-	-	-	-		
5850	r	-	-	r	-	-	-	-	-		
5860	r	-	-	r	-	-	-	-	-		
5870	r	-	-	r	-	-	-	-	-		
5880	r	-	-	r	-	-	-	-	-		
5890	r	-	-	r	-	-	-	-	-		
5900	r	-	-	r	-	-	-	-	-		
5910	r	-	-	r	-	-	-	-	-		
5920	r	-	-	r	-	-	-	-	-		
5930	r	-	-	r	-	-	-	-	-		
5940	-	-	-	r	-	-	-	-	-		
5950	-	-	-	r	-	-	-	-	-		
5960	-	-	-	r	-	-	-	-	-		
5970	-	-	-	r	-	-	-	-	-		
5980	-	-	-	r	-	-	-	-	-		
5990	-	-	-	r	-	-	-	-	-		
6000	-	-	-	r	-	-	-	-	-		
6010	-	-	-	r	-	-	-	-	-		
6020	-	-	-	r	-	-	-	-	-		
6030	-	-	-	r	-	-	-	-	-		
6040	-	-	-	r	-	-	-	-	-		
6050	-	-	-	r	-	-	-	-	-		
6060	-	-	-	r	-	-	-	-	-		
6070	-	-	-	r	-	-	-	-	-		
6080	-	-	-	r	-	-	-	-	-		
6090	-	-	-	r	-	-	-	-	-		
6100	-	-	-	r	-	-	-	-	-		
6110	-	-	-	r	-	-	-	-	-		
6120	-	-	-	r	-	-	-	-	-		
6130	-	-	-	r	-	-	-	-	-		
6140	-	-	-	r	-	-	-	-	-		
6150	-	-	-	r	-	-	-	-	-		
6160	-	-	-	r	-	-	-	-	-		
6170	-	-	-	r	-	-	-	-	-		
6180	-	-	-	r	-	-	-	-	-		
6190	-	-	-	r	-	-	-	-	-		
6200	-	-	-	r	-	-	-	-	-		
